,,重庆安捷国际运输代理有限公司,,
,,REFERENCE NO(参考单号):0000985431(1001020447)XPA,,
,,SHIPMENT: 0081633444,,
,,H80126000003,20191125,20191125
旭硕科技（重庆）有限公司,,航空运输(5),,
915000005699041439,,,,
PEGATRON CORPORATION,,区内进料加工货物(5015)进料加工(503),,电汇(2)
TWN143 德国(DEU304),德意志联邦共和国(DEU000),510005-成都双流国际机场国际快件,,
,FOB(3),,,
DCH002(0000985431)XPA,2,纸箱(2),22.00,19.17
,客供料款:USD1165.30实收:USD906.10,,,
0000985431 客供料款:USD1165.30实收:USD906.10,,,,
,,,,申报要素详见清单
001 84713090.00 笔记本电脑,10.000 台(001),德国,207.1400,2071.40 USD 全免
225,NOTEBOOK1973,10.000 台(001),(304),(502)
,,19.167 千克(035),,
,,,TOTAL:,2071.40
,,,,以下空白
,,,,制单人：刘君燕
,,,,分机 ：16274
,,,,复核人：
